run_id,experiment_id,formation,wind_direction,wind_speed,inter_drone_distance_cm,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,target_pad,phase,timestamp,elapsed_time,node_elapsed_time,battery,battery_start,battery_drop_from_start
20260621_000740,diamond_75_side_lv2_new_003,diamond,side wind,Level2,75,drone_1,192.168.0.102,B11,1,diamond_1,2,6,node_segment_2_of_4,2026-06-21T00:08:15.008,34.627,16.392,52,52,0
20260621_000740,diamond_75_side_lv2_new_003,diamond,side wind,Level2,75,drone_2,192.168.0.109,B10,2,diamond_2,2,6,node_segment_2_of_4,2026-06-21T00:08:15.008,34.627,16.392,49,52,3
20260621_000740,diamond_75_side_lv2_new_003,diamond,side wind,Level2,75,drone_3,192.168.0.103,B13,3,diamond_3,3,7,node_segment_2_of_4,2026-06-21T00:08:15.008,34.627,16.392,55,55,0
20260621_000740,diamond_75_side_lv2_new_003,diamond,side wind,Level2,75,drone_4,192.168.0.106,B14,4,diamond_4,4,8,node_segment_2_of_4,2026-06-21T00:08:15.008,34.627,16.392,52,52,0
20260621_000740,diamond_75_side_lv2_new_003,diamond,side wind,Level2,75,drone_5,192.168.0.107,B12,5,diamond_5,4,8,node_segment_2_of_4,2026-06-21T00:08:15.008,34.627,16.392,51,52,1
20260621_000740,diamond_75_side_lv2_new_003,diamond,side wind,Level2,75,drone_1,192.168.0.102,B11,1,diamond_1,2,6,node_segment_2_of_4,2026-06-21T00:08:15.113,34.732,16.497,51,52,1
20260621_000740,diamond_75_side_lv2_new_003,diamond,side wind,Level2,75,drone_2,192.168.0.109,B10,2,diamond_2,2,6,node_segment_2_of_4,2026-06-21T00:08:15.113,34.732,16.497,49,52,3
20260621_000740,diamond_75_side_lv2_new_003,diamond,side wind,Level2,75,drone_3,192.168.0.103,B13,3,diamond_3,3,7,node_segment_2_of_4,2026-06-21T00:08:15.113,34.732,16.497,55,55,0
20260621_000740,diamond_75_side_lv2_new_003,diamond,side wind,Level2,75,drone_4,192.168.0.106,B14,4,diamond_4,4,8,node_segment_2_of_4,2026-06-21T00:08:15.113,34.732,16.497,52,52,0
20260621_000740,diamond_75_side_lv2_new_003,diamond,side wind,Level2,75,drone_5,192.168.0.107,B12,5,diamond_5,4,8,node_segment_2_of_4,2026-06-21T00:08:15.113,34.732,16.497,51,52,1
20260621_000740,diamond_75_side_lv2_new_003,diamond,side wind,Level2,75,drone_1,192.168.0.102,B11,1,diamond_1,2,6,node_segment_2_of_4,2026-06-21T00:08:15.220,34.839,16.603,51,52,1
20260621_000740,diamond_75_side_lv2_new_003,diamond,side wind,Level2,75,drone_2,192.168.0.109,B10,2,diamond_2,2,6,node_segment_2_of_4,2026-06-21T00:08:15.220,34.839,16.603,49,52,3
20260621_000740,diamond_75_side_lv2_new_003,diamond,side wind,Level2,75,drone_3,192.168.0.103,B13,3,diamond_3,3,7,node_segment_2_of_4,2026-06-21T00:08:15.220,34.839,16.603,55,55,0
20260621_000740,diamond_75_side_lv2_new_003,diamond,side wind,Level2,75,drone_4,192.168.0.106,B14,4,diamond_4,4,8,node_segment_2_of_4,2026-06-21T00:08:15.220,34.839,16.603,52,52,0
20260621_000740,diamond_75_side_lv2_new_003,diamond,side wind,Level2,75,drone_5,192.168.0.107,B12,5,diamond_5,4,8,node_segment_2_of_4,2026-06-21T00:08:15.220,34.839,16.603,51,52,1
20260621_000740,diamond_75_side_lv2_new_003,diamond,side wind,Level2,75,drone_1,192.168.0.102,B11,1,diamond_1,2,6,node_segment_2_of_4,2026-06-21T00:08:15.325,34.944,16.709,51,52,1
20260621_000740,diamond_75_side_lv2_new_003,diamond,side wind,Level2,75,drone_2,192.168.0.109,B10,2,diamond_2,2,6,node_segment_2_of_4,2026-06-21T00:08:15.325,34.944,16.709,49,52,3
20260621_000740,diamond_75_side_lv2_new_003,diamond,side wind,Level2,75,drone_3,192.168.0.103,B13,3,diamond_3,3,7,node_segment_2_of_4,2026-06-21T00:08:15.325,34.944,16.709,55,55,0
20260621_000740,diamond_75_side_lv2_new_003,diamond,side wind,Level2,75,drone_4,192.168.0.106,B14,4,diamond_4,4,8,node_segment_2_of_4,2026-06-21T00:08:15.325,34.944,16.709,52,52,0
20260621_000740,diamond_75_side_lv2_new_003,diamond,side wind,Level2,75,drone_5,192.168.0.107,B12,5,diamond_5,4,8,node_segment_2_of_4,2026-06-21T00:08:15.325,34.944,16.709,51,52,1
